OrderID,UserID,ProductID,Quantity,Category,OrderIndex
ORD1000,U030,Flavored_Yogurt,1,yogurt,1
ORD1000,U030,Frozen_Pizza,2,frozen foods,2
ORD1000,U030,Fresh_Tomatoes,2,fresh vegetables,3
ORD1000,U030,Gouda_Cheese,4,packaged cheese,4
ORD1000,U030,Lactose_Free_Milk,3,milk,5
ORD1001,U030,Lamb_Chops,3,meat counter,1
ORD1001,U030,Frozen_Pizza,3,frozen foods,2
ORD1002,U010,Frozen_Fish,2,frozen foods,1
ORD1002,U010,Fresh_Oranges,3,fresh fruits,2
ORD1002,U010,Olive_Oil,3,pantry staples,3
ORD1002,U010,Organic_Yogurt,3,yogurt,4
ORD1002,U010,Whole_Chicken,2,poultry counter,5
ORD1003,U001,Ground_Beef,2,meat counter,1
ORD1003,U001,Gouda_Cheese,1,packaged cheese,2
ORD1004,U022,Bacon,1,meat counter,1
ORD1004,U022,Olive_Oil,4,pantry staples,2
ORD1004,U022,Oat_Milk,3,milk,3
ORD1005,U003,Olive_Oil,2,pantry staples,1
ORD1005,U003,Bacon,1,meat counter,2
ORD1005,U003,Whole_Chicken,4,poultry counter,3
ORD1005,U003,Gouda_Cheese,1,packaged cheese,4
ORD1005,U003,Sourdough_Bread,1,bread,5
ORD1006,U013,Rye_Bread,3,bread,1
ORD1006,U013,Fresh_Kale,1,fresh vegetables,2
ORD1007,U012,Sugar,3,pantry staples,1
ORD1007,U012,Fresh_Cucumbers,2,fresh vegetables,2
ORD1007,U012,Whole_Milk,1,milk,3
ORD1007,U012,Flavored_Yogurt,1,yogurt,4
ORD1008,U013,Organic_Yogurt,2,yogurt,1
ORD1008,U013,Salt,1,pantry staples,2
ORD1009,U030,Blue_Cheese,4,packaged cheese,1
ORD1010,U027,Fresh_Peaches,4,fresh fruits,1
ORD1010,U027,Ciabatta,4,bread,2
ORD1010,U027,Chicken_Breast,3,meat counter,3
ORD1011,U019,Salt,3,pantry staples,1
ORD1012,U024,Soy_Milk,3,milk,1
ORD1013,U009,Ribeye_Steak,2,meat counter,1
ORD1013,U009,Frozen_Fish,2,frozen foods,2
ORD1013,U009,Oat_Milk,1,milk,3
ORD1013,U009,Feta_Cheese,4,packaged cheese,4
ORD1013,U009,Salt,2,pantry staples,5
ORD1014,U014,Fresh_Peppers,3,fresh vegetables,1
ORD1014,U014,Whole_Chicken,3,poultry counter,2
ORD1015,U011,Turkey_Breast,3,poultry counter,1
ORD1015,U011,Fresh_Lettuce,2,fresh vegetables,2
ORD1015,U011,Ribeye_Steak,4,meat counter,3
ORD1016,U024,White_Bread,4,bread,1
ORD1016,U024,Almond_Milk,4,milk,2
ORD1017,U021,Pork_Chops,3,meat counter,1
ORD1018,U023,Turkey_Breast,3,meat counter,1
ORD1018,U023,Whole_Chicken,4,poultry counter,2
ORD1019,U024,Fresh_Grapes,3,fresh fruits,1
ORD1019,U024,Frozen_Pizza,4,frozen foods,2
ORD1020,U009,Lamb_Chops,3,meat counter,1
ORD1020,U009,Fresh_Peaches,3,fresh fruits,2
ORD1020,U009,Mozzarella_Cheese,1,packaged cheese,3
ORD1021,U022,Canned_Tomatoes,2,pantry staples,1
ORD1021,U022,Frozen_Vegetables,2,frozen foods,2
ORD1021,U022,Turkey_Breast,2,meat counter,3
ORD1021,U022,Fresh_Apples,1,fresh fruits,4
ORD1021,U022,Coconut_Milk,4,milk,5
ORD1022,U020,Fresh_Kale,1,fresh vegetables,1
ORD1022,U020,Skim_Milk,2,milk,2
ORD1022,U020,Ribeye_Steak,1,meat counter,3
ORD1022,U020,Fresh_Blueberries,2,fresh fruits,4
ORD1022,U020,Sugar,4,pantry staples,5
ORD1023,U019,Sugar,4,pantry staples,1
ORD1024,U004,Lactose_Free_Milk,1,milk,1
ORD1024,U004,Whole_Chicken,1,poultry counter,2
ORD1025,U026,Soy_Milk,3,milk,1
ORD1026,U028,Ribeye_Steak,2,meat counter,1
ORD1026,U028,Salt,3,pantry staples,2
ORD1026,U028,Flavored_Yogurt,4,yogurt,3
ORD1026,U028,Frozen_Pizza,4,frozen foods,4
ORD1026,U028,Wheat_Bread,4,bread,5
ORD1027,U023,Canned_Tomatoes,4,pantry staples,1
ORD1027,U023,Swiss_Cheese,1,packaged cheese,2
ORD1027,U023,Fresh_Peaches,4,fresh fruits,3
ORD1027,U023,Sourdough_Bread,1,bread,4
ORD1027,U023,Organic_Yogurt,2,yogurt,5
ORD1028,U011,Parmesan_Cheese,3,packaged cheese,1
ORD1028,U011,Sugar,1,pantry staples,2
ORD1028,U011,Greek_Yogurt,3,yogurt,3
ORD1029,U025,Frozen_Pizza,4,frozen foods,1
ORD1029,U025,Fresh_Grapes,4,fresh fruits,2
ORD1029,U025,Whole_Chicken,4,poultry counter,3
ORD1029,U025,Flour,3,pantry staples,4
ORD1029,U025,Lactose_Free_Milk,1,milk,5
ORD1030,U028,Fresh_Peppers,2,fresh vegetables,1
ORD1030,U028,Oat_Milk,3,milk,2
ORD1031,U029,Ice_Cream,2,frozen foods,1
ORD1032,U004,Flour,4,pantry staples,1
ORD1032,U004,Wheat_Bread,4,bread,2
ORD1033,U016,Plain_Yogurt,4,yogurt,1
ORD1034,U013,Skim_Milk,4,milk,1
ORD1035,U016,Fresh_Carrots,1,fresh vegetables,1
ORD1035,U016,Fresh_Grapes,1,fresh fruits,2
ORD1035,U016,White_Bread,2,bread,3
ORD1035,U016,Pasta,1,pantry staples,4
ORD1036,U004,Turkey_Breast,3,poultry counter,1
ORD1036,U004,Lactose_Free_Milk,4,milk,2
ORD1036,U004,Fresh_Mangoes,3,fresh fruits,3
ORD1036,U004,Fresh_Broccoli,4,fresh vegetables,4
ORD1037,U030,Ice_Cream,1,frozen foods,1
ORD1037,U030,Fresh_Cucumbers,1,fresh vegetables,2
ORD1037,U030,Organic_Yogurt,2,yogurt,3
ORD1038,U002,Olive_Oil,3,pantry staples,1
ORD1038,U002,Blue_Cheese,4,packaged cheese,2
ORD1038,U002,Whole_Chicken,3,poultry counter,3
ORD1038,U002,Fresh_Kale,3,fresh vegetables,4
ORD1038,U002,Frozen_Chicken,4,frozen foods,5
ORD1039,U027,Multigrain_Bread,2,bread,1
ORD1039,U027,Bacon,2,meat counter,2
ORD1039,U027,Organic_Yogurt,2,yogurt,3
ORD1039,U027,Chicken_Breast,4,poultry counter,4
ORD1039,U027,Fresh_Kale,3,fresh vegetables,5
ORD1040,U013,Feta_Cheese,4,packaged cheese,1
ORD1041,U004,Rice,1,pantry staples,1
ORD1041,U004,Ground_Beef,1,meat counter,2
ORD1041,U004,Frozen_Chicken,2,frozen foods,3
ORD1041,U004,Flavored_Yogurt,2,yogurt,4
ORD1042,U006,Canned_Tomatoes,1,pantry staples,1
ORD1042,U006,Duck_Breast,3,poultry counter,2
ORD1042,U006,Frozen_Pizza,3,frozen foods,3
ORD1043,U029,Duck_Breast,4,poultry counter,1
ORD1043,U029,Olive_Oil,2,pantry staples,2
ORD1043,U029,Fresh_Grapes,4,fresh fruits,3
ORD1043,U029,Fresh_Lettuce,2,fresh vegetables,4
ORD1043,U029,Blue_Cheese,2,packaged cheese,5
ORD1044,U004,Whole_Milk,4,milk,1
ORD1044,U004,Fresh_Spinach,4,fresh vegetables,2
ORD1044,U004,Whole_Chicken,4,poultry counter,3
ORD1044,U004,Turkey_Breast,2,meat counter,4
ORD1045,U013,Swiss_Cheese,2,packaged cheese,1
ORD1045,U013,Fresh_Oranges,3,fresh fruits,2
ORD1045,U013,Low_Fat_Yogurt,3,yogurt,3
ORD1045,U013,Fresh_Carrots,1,fresh vegetables,4
ORD1045,U013,Ciabatta,4,bread,5
ORD1046,U011,Flavored_Yogurt,2,yogurt,1
ORD1046,U011,Whole_Chicken,2,poultry counter,2
ORD1046,U011,Ribeye_Steak,3,meat counter,3
ORD1046,U011,Frozen_Pizza,3,frozen foods,4
ORD1046,U011,Ciabatta,4,bread,5
ORD1047,U013,Organic_Yogurt,1,yogurt,1
ORD1047,U013,Duck_Breast,2,poultry counter,2
ORD1047,U013,Rice,3,pantry staples,3
ORD1047,U013,Pork_Chops,3,meat counter,4
ORD1048,U018,Chicken_Breast,3,poultry counter,1
ORD1048,U018,Frozen_Fish,4,frozen foods,2
ORD1048,U018,Wheat_Bread,2,bread,3
ORD1049,U016,Greek_Yogurt,2,yogurt,1
ORD1049,U016,Olive_Oil,1,pantry staples,2
ORD1049,U016,Frozen_Vegetables,3,frozen foods,3
ORD1049,U016,Turkey_Breast,4,poultry counter,4
ORD1049,U016,Fresh_Mangoes,4,fresh fruits,5
ORD1050,U005,Duck_Breast,3,poultry counter,1
ORD1050,U005,Blue_Cheese,4,packaged cheese,2
ORD1050,U005,Greek_Yogurt,2,yogurt,3
ORD1050,U005,Salt,2,pantry staples,4
ORD1051,U007,Almond_Milk,3,milk,1
ORD1052,U011,Fresh_Mangoes,3,fresh fruits,1
ORD1052,U011,Frozen_Chicken,3,frozen foods,2
ORD1053,U004,Turkey_Breast,2,poultry counter,1
ORD1053,U004,Baguette,2,bread,2
ORD1053,U004,Flour,2,pantry staples,3
ORD1054,U021,Turkey_Breast,1,poultry counter,1
ORD1054,U021,Chicken_Breast,1,meat counter,2
ORD1055,U003,Rice,4,pantry staples,1
ORD1055,U003,Flavored_Yogurt,2,yogurt,2
ORD1055,U003,Frozen_Pizza,3,frozen foods,3
ORD1055,U003,Sourdough_Bread,3,bread,4
ORD1056,U029,Ground_Beef,4,meat counter,1
ORD1056,U029,Soy_Milk,3,milk,2
ORD1056,U029,Turkey_Breast,1,poultry counter,3
ORD1056,U029,Fresh_Apples,4,fresh fruits,4
ORD1057,U028,Lamb_Chops,2,meat counter,1
ORD1057,U028,Fresh_Cucumbers,1,fresh vegetables,2
ORD1057,U028,Soy_Milk,4,milk,3
ORD1058,U027,Bacon,2,meat counter,1
ORD1059,U007,Frozen_Fish,2,frozen foods,1
ORD1060,U002,Flour,2,pantry staples,1
ORD1061,U016,Turkey_Breast,1,poultry counter,1
ORD1061,U016,Coconut_Milk,3,milk,2
ORD1061,U016,Fresh_Peaches,1,fresh fruits,3
ORD1061,U016,Canned_Tomatoes,4,pantry staples,4
ORD1062,U005,Ground_Beef,1,meat counter,1
ORD1063,U003,Rice,4,pantry staples,1
ORD1064,U030,Almond_Milk,3,milk,1
ORD1065,U009,Fresh_Broccoli,2,fresh vegetables,1
ORD1066,U016,Low_Fat_Yogurt,4,yogurt,1
ORD1067,U009,Fresh_Grapes,3,fresh fruits,1
ORD1068,U030,Cheddar_Cheese,2,packaged cheese,1
ORD1069,U023,Sourdough_Bread,1,bread,1
ORD1069,U023,Fresh_Kale,3,fresh vegetables,2
ORD1069,U023,Mozzarella_Cheese,2,packaged cheese,3
ORD1069,U023,Skim_Milk,2,milk,4
ORD1070,U004,Fresh_Apples,1,fresh fruits,1
ORD1070,U004,Duck_Breast,2,poultry counter,2
ORD1070,U004,Fresh_Broccoli,3,fresh vegetables,3
ORD1071,U030,Ciabatta,3,bread,1
ORD1071,U030,Greek_Yogurt,3,yogurt,2
ORD1071,U030,Fresh_Tomatoes,4,fresh vegetables,3
ORD1072,U009,Wheat_Bread,4,bread,1
ORD1072,U009,Pork_Chops,1,meat counter,2
ORD1072,U009,Gouda_Cheese,4,packaged cheese,3
ORD1072,U009,Turkey_Breast,2,poultry counter,4
ORD1072,U009,Fresh_Apples,1,fresh fruits,5
ORD1073,U014,Turkey_Breast,2,meat counter,1
ORD1073,U014,Multigrain_Bread,4,bread,2
ORD1073,U014,Gouda_Cheese,4,packaged cheese,3
ORD1074,U015,Rice,4,pantry staples,1
ORD1074,U015,Fresh_Oranges,1,fresh fruits,2
